.38;2; 40%;;;;ammunition_group
.40-44;2; 20%;;;;ammunition_group
.44;3; 30%;;;;ammunition_group
5,7mm;3; 10%;;;;ammunition_group
7,62mm TT;2; 30%;;;;ammunition_group
9mm;3; 40%;;;;ammunition_group
45ACP;2; 40%;;;;ammunition_group
50.AE;2; 10%;;;;ammunition_group
.22;2; 50%;;;;ammunition_group
5,56mm;3; 40%;;;;ammunition_group
7,62mm;3; 40%;;;;ammunition_group
7,62mm AK;2; 30%;;;;ammunition_group
.50BMG;2; 40%;;;;ammunition_group
.12;2; 50%;;;;ammunition_group
Granat 20mm;50; 10%;;;;ammunition_group
Granat 40mm;40; 20%;;;;ammunition_group
Pocisk rakietowy;100; 10%;;;;ammunition_group
Strzała;1; 80%;;;;ammunition_group
Bełt;2; 40%;;;;ammunition_group
Dobrej jakości;15; 10%;;;;fuel_group
Przeciętnej jakości;5; 30%;;;;fuel_group
Słabej jakości;3; 50%;;;;fuel_group
Olej napędowy;3; 50%;;;;fuel_group
Decalcit;2; 80%; na Zwapnienie płuc; 24 w opakowaniu;;medicaments_group
Calcidis;2; 60%; na Zwapnienie płuc; 50 w słoiczku;;medicaments_group
Valapren;5; 20%; na Gorączkę sob. nocy; 20 w słoiczku;;medicaments_group
Ebokiller;4; 40%; na Przewlekłą gor. krwotoczną; na sztuki;;medicaments_group
Tubokuraryna;1; 70%; na Mount Rushmor;e zastrzyk na sztuki;;medicaments_group
Benzodiazepiny;2; 50%; na Mount Rushmore; na sztuki;;medicaments_group
Progabid;3; 40%; na Mount Rushmore; na sztuki;;medicaments_group
Pinio;1; 60%; na Syndrom Obcego; syrop 50 łyżek;;medicaments_group
Uregyt;2; 80%; na Chore nery; proszek na wagę (1 gram = 1 dawka);;medicaments_group
Kwas foliowy;1; 80%; na Chore nery; proszek na wagę (1 gram = 1 dawka);;medicaments_group
Preparaty żelaza;1; 80%; na Chore nery; płyn na wagę (1 gram = 1 dawka);;medicaments_group
Leki przeciwhistaminowe;3; 30%; na Alergie; tabletki 40 w opakowaniu;;medicaments_group
Alef;2; 50%; na Szaleństwo bostońskie; proszek (1 gram = 1 dawka);;medicaments_group
Bet;2; 40%; na Szaleństwo bostońskie; proszek (1 gram = 1 dawka);;medicaments_group
Gimel;2; 40%; na Szaleństwo bostońskie; proszek (1 gram = 1 dawka);;medicaments_group
