,pl,en
natural_killer_long_description,Wyrzuciliby cię z Areny za szczególne bestialstwo. Wybierz sobie dowolny pakiet Umiejętności Wojownika. Wszystkie Umiejętności z paczki posiadasz na poziomie +2.,They would throw you out of the Arena for your exceptional brutality. Choose any Warrior Skills package. You possess all Skills from the package at a +2 level.
you_know_i_ate_my_own_dog_long_description,"Budzisz grozę. Twój widok paraliżuje. Jeżeli udało ci się kogoś zastraszyć (test Morale przed walką), w walce z nim automatycznie wygrywasz Inicjatywę.","You inspire fear. Your presence paralyzes. If you manage to intimidate someone (Morale test before combat), you automatically win Initiative in a fight against them."
headstrong_son_of_a_gun_long_description,"Mówią o tobie, że pociągniesz do grobu swojego zabójcę. To prawda. Jesteś uparty, twardy i nie popuszczasz. Raz w ciągu sesji, podczas wykonywania testu Umiejętności, zamiast wymaganego Współczynnika możesz użyć Charakteru.","They say you'll drag your killer to the grave. It's true. You're stubborn, tough, and unyielding. Once per session, while performing a Skill test, you can use your Character instead of the required Attribute."
luck_long_description,"No i z czego się cieszysz? Myślisz, że masz farta i właśnie dlatego jesteś bezpieczny, jak jajeczko pod dupcią mamusi kurki? A chcesz przetestować swoje szczęście? Popatrz, załaduję jedną kulę i zagramy w rosyjską ruletkę, chcesz? Co, tak... Poważnie chcesz? Jesteś chory. 
        Wiesz, zróbmy tak, że trzykrotnie podczas sesji możesz powtórzyć jeden nieudany rzut na dowolnej z trzech kości.","
And what are you so happy about? Do you think you're lucky, and that's why you feel safe like an egg under a mother hen's behind? You want to test your luck? Look, I'll load one bullet and we'll play Russian roulette, you want to? What, you do... Seriously? You're insane.
You know what, let's do this: three times during the session, you can reroll one unsuccessful roll on any of the three dice."
gambler_long_description,Zwinne paluszki to bogactwo naturalne. Znasz tysiąc oszustw. Miałeś okazję wyćwiczyć swoje dłonie i manipulujesz nimi lepiej niż japoński robot. Zaczynasz grę posiadając (gratisowo!) wszystkie Umiejętności z pakietu Zdolności manualne na poziomie +2.,"Nimble fingers are a natural treasure. You know a thousand tricks. You've had the chance to exercise your hands, and you manipulate them better than a Japanese robot. You start the game with (for free!) all the Skills from the Manual Dexterity package at a +2 level."
telepath_long_description,"A ty telepata jesteś? Skąd wiesz, że on blefuje? Co znaczy, że on nas nie zabije? Masz to gdzieś na piśmie? Chyba nie myślisz, że ci uwierzę!
Poziom trudności wszystkich testów Blefu, Perswazji i Zastraszania w stosunku do ciebie jest zwiększany o jeden w górę.","
Are you a telepath? How do you know he's bluffing? What does it mean that he won't kill us? Do you have it in writing? You don't seriously expect me to believe you!
The difficulty level of all Bluff, Persuasion, and Intimidation tests against you is increased by one."
companion_long_description,"Ten skorpion to też twój przyjaciel? Wiesz, psa bym zrozumiał, może jakiegoś ptaka, czy coś. Ale skorpion? Wybierz sobie inne! 
        Możesz wybrać jedno zwierzę, które będzie twoim kompanem, będzie ci służyło, ale musisz je kochać. Zwierzęciem może być dowolny ssak, ptak, gad lub inne stworzenie, za pozwoleniem MG. Od tej pory jest was dwóch. Gdybyś na przykład miał tandem, moglibyście sobie pojeździć po pustyni, he, he... 
        Takiemu towarzyszowi możesz wydawać kilka rodzajów poleceń, jak np. „bierz go”, „do nogi”, „cicho”, „leżeć” itp.","Is this scorpion your friend too? You know, I'd understand a dog, maybe a bird, or something like that. But a scorpion? Choose something else!
You can choose one animal to be your companion, it will serve you, but you must love it. The animal can be any mammal, bird, reptile, or other creature, with the Game Master's permission. From now on, there are two of you. For example, if you had a tandem, you could ride around the desert together, hehe...
You can issue several types of commands to such a companion, such as ""fetch,"" ""heel,"" ""quiet,"" ""lie down,"" etc."
i_am_a_spirit_of_the_desert_long_description,"Nauczyłeś się przydatnej sztuczki. W trudnych warunkach (wysoka temperatura lub brak pożywienia i wody), potrafisz pogrążyć się w katalepsji i przeżyć. W stanie uśpienia leżysz nieruchomo i nie odbierasz żadnych bodźców zewnętrznych do czasu, aż warunki staną się bardziej sprzyjające. W ten sposób możesz przetrwać trzy miesiące.","You've learned a useful trick. In harsh conditions (high temperature or lack of food and water), you can go into a cataleptic state and survive. In a state of sleep, you lie motionless and do not respond to any external stimuli until conditions become more favorable. This way, you can survive for three months."
self-contained_long_description,"Jeżeli posługujesz się bronią własnej roboty (nie dotyczy broni palnej), lub jakimkolwiek innym wykonanym przez siebie narzędziem, w każdym teście z jego wykorzystaniem możesz odjąć dwa oczka od rzutu na jednej z kostek.","
If you use a weapon of your own making (excluding firearms) or any other tool crafted by you, in every test involving its use, you can subtract two points from the roll on one of the dice."
good_old_education_long_description,"Miałeś bardzo dobrych nauczycieli. Jeżeli na dalszym etapie tworzenia postaci wybierzesz jako specjalizację Technika, otrzymujesz dodatkowe 10 punktów do wydania na Umiejętności oparte o Spryt.","Miałeś bardzo dobrych nauczycieli. Jeżeli na dalszym etapie tworzenia postaci wybierzesz jako specjalizację Technika, otrzymujesz dodatkowe 10 punktów do wydania na Umiejętności oparte o Spryt."
