,pl,en
natural_killer_name,Urodzony morderca,Natural killer
you_know_i_ate_my_own_dog_name,"Wiesz, zjadłem własnego psa","You know, I ate my own dog"
headstrong_son_of_a_gun_name,Zawzięty sukinkot,Headstrong son of a gun
luck_name,Fart,Luck
gambler_name,Hazardzista,Gambler
telepath_name,Telepata,Telepath
companion_name,Towarzysz,Companion
i_am_a_spirit_of_the_desert_name,Jestem duchem pustyni,I am a spirit of the Desert
self-contained_name,Polegam tylko na sobie,Self-Contained
good_old_education_name,Zalety klasycznego wykształcenia,Good old education
vision_name,Wizja,Vision
patriot_games_name,Czas patriotów,Patriot games
a_man_called_horse_name,Człowiek zwany Koniem,A man called Horse
doctor_quinn_name,Doktor Quinn,Doctor Quinn
healthy_neighbourhood_name,Zdrowa okolica,Healthy Neighbourhood
nobly_born_name,Szlachetnie urodzony,Nobly born
duelist_name,Pojedynkowicz,Duelist
perfect_gun_name,Wychuchana spluwa,Perfect gun
crocodile_dundee_name,Człowiek-aligator,Crocodile Dundee
done_my_share_of_being_ill_name,Ja już swoje odchorowałem,Done my share of being ill
walkabout_name,Walkabout,Walkabout
versatility_name,Wszechstronność,Versatility
versatility_squared_name,Wszechstronność do kwadratu,Versatility squared
goddamn_preacher_name,Cholerny kaznodzieja,Goddamn preacher
i_believe_name,Wierzę,I Believe
everything_was_better_before_the_war_name,Przed wojną wszystko było lepsze,Everything was better before the war
something_s_fishy_name,Coś mi tu śmierdzi,Something’s fishy
come_on_he_s_definitely_drowned_already_name,"Chodźmy, na pewno już utonął","Come on, he’s definitely drowned already"
"acid_in_the_veins,_chlorine_in_the_lungs_name","Kwas w żyłach, chlor w płucach","Acid in the veins, chlorine in the lungs"
it_worked_in_the_simulator_name,Na symulatorze to działało,It worked on the simulator
hi-tech_name,Hi-Tech,Hi-Tech
moloch?_yeah_rings_a_bell_name,Moloch? Coś o nim słyszałem,"Moloch? Yeah, rings a bell"
if_it_has_an_engine_it_will_go_name,Jeśli ma silnik to ruszy,"If it has an engine, it’ll run"
muck_sweat_name,Siódme poty,Muck sweat
what_a_joyride_name,Ale jazda,What a Joyride
