,pl,en
chemist_description,"        Słyszałeś już, że każdy napotkany człowiek jest chory? A o tym, że dodatkowo połowa z nich jest lekomanami? A o tym, że wszyscy biorą Tornado? A słyszałeś, że Moloch głównie atakuje gazami bojowymi? I wiesz też o tym, że główny problem to dziś zatruta woda i skażona gleba? 
        No dobra, obok mechanika, jesteś najbardziej cenioną osobą w dzisiejszych czasach. Każda wiocha marzy o tym, by zamieszkał tam chemik, facet lub kobita, którzy potrafią wyczuć, który śluz jest śmiertelnie zabójczy, a który zajebiście śmiertelnie zabójczy. Chemik potrafi zbadać wodę, glebę, oczyścić znaleziony sprzęt gdzieś z okolic Misissipi i jeszcze zamienić to w paliwo do kosiarki trawy. 
        Chemik potrafi wiele. Zna się na jadach, truciznach, wie jak bronić się przed gazem, które rękawice naprawdę chronią przed kwasem, a które tylko tak wyglądają. Cóż, jeśli lubisz babrać się w smrodzie, to robota chemika jest dla ciebie idealnym zajęciem","Have you heard that every person you come across is sick? And that, on top of that, half of them are addicts? And did you know that everyone is taking Tornado? Have you heard that Moloch primarily attacks with chemical warfare agents? And are you aware that the main problem today is tainted water and contaminated soil?
Alright, besides being a mechanic, you are one of the most highly valued individuals in these times. Every village dreams of having a chemist living there, a person who can discern which slime is deadly and which one is incredibly deadly. A chemist can analyze water, soil, clean up found equipment somewhere near the Mississippi, and even turn it into fuel for a lawnmower.
A chemist can do a lot. They understand poisons, toxins, know how to defend against gas, which gloves actually protect against acid, and which ones just look like they do. Well, if you enjoy diving into odors, then a chemist's job is the perfect occupation for you."
ganger_description,"        Ganger to ten facet na motorze, o którym mówi się na każdym kroku. To najpopularniejsza fucha dzisiejszych czasów. Wystarczy mieć maszynę, kilku kumpli i skórzaną kurtkę. I już jesteś gangerem. 
        Oczywiście, dobrze mieć trochę szajby, duże umiłowanie do zabawy i nie bać się strzelanin. Raczej nie licz na to, że będziesz uwielbiany - gangerów mało kto lubi. Wiesz, ci goście zazwyczaj uprzykrzają wszystkim życie, więc jeśli raz na jakiś czas odłączysz się od swojej grupy i zostaniesz sam, możesz być pewien, że znajdzie się cały tabun ludzi, którzy zechcą odwdzięczyć ci się za wszystkie twoje grzechy i jeszcze trochę grzechów twoich kumpli. 
        No dobrze, ale jak już im wszystkim skroisz tyłki, fajnie będzie pochwalić się przed resztą gangu, nie? 
        No więc wsiadaj na brykę, repetuj broń i ruszaj w drogę. Życie gangera na pewno nie będzie nudne!","A ganger is that guy on a motorcycle everyone talks about at every corner. It's the most popular gig in today's times. All you need is a bike, a few buddies, and a leather jacket, and you're a ganger.
Of course, it's good to have a bit of madness, a great love for fun, and not be afraid of shootouts. Don't count on being adored - few people like gangers. You know, these guys usually make life miserable for everyone, so if you occasionally break away from your group and go solo, you can be sure there will be a horde of people wanting to pay you back for all your sins and a few of your buddies' sins.
Well, but when you've shown them all who's boss, it'll be cool to show off in front of the rest of the gang, right?
So hop on your ride, check your weapons, and hit the road. A ganger's life is definitely not going to be boring!"
gladiator_description,"        To, że żyjesz z mordowania innych, wcale nie musi oznaczać, że pochodzisz z południa. To, że od ostatnich piętnastu lat łamiesz innym ludziom karki, wbijasz w plecy kolce i ostrza, wcale nie musi oznaczać, że jesteś zły. To, że ostatniego z przyjaciół zadusiłeś jego własnym łańcuchem, bo takie akurat było losowanie par turnieju, wcale nie musi oznaczać, że nie masz uczuć. 
        To, że jesteś gladiatorem, musi natomiast Oznaczać, że cholernie ciężko zrobić ci krzywdę. Także to, że zawzięty i twardy z ciebie sukinsyn. Oraz to, że nawet jeśli weźmiesz do ręki łyżeczkę do cukru, powinienem czuć się tak, jak gdybyś miał w łapie kilof, bo potrafisz robić krzywdę naprawdę każdym przedmiotem. Coś jeszcze? Na przykład to, że jeśli rozpieprzę ci obojczyk, złamię rękę w dwóch miejscach i wbiję ci bagnet w udo, absolutnie nie powinienem sądzić, że z tobą skończyłem. Bo jeśli cieknie ci posoka, to znaczy, że twoje serce wciąż pompuje. A jeśli twoje serce wciąż pompuje, to znaczy, że wciąż jestem w niebezpieczeństwie","The fact that you make a living by killing others doesn't necessarily mean you come from the South. The fact that you've been breaking people's necks, thrusting spikes and blades into their backs for the past fifteen years doesn't necessarily mean you're evil. The fact that you strangled your last remaining friend with his own chain because that's how the pairing lottery worked doesn't necessarily mean you're devoid of feelings.
Being a gladiator, however, must mean that it's damn hard to hurt you. It also means you're relentless and tough as nails. And even if you were to pick up a sugar spoon, I should feel as if you're holding a pickaxe because you can harm anyone with just about any object. Anything else? For instance, if I shatter your collarbone, break your arm in two places, and plunge a bayonet into your thigh, I should absolutely not assume that I'm done with you. Because if blood is still flowing from you, it means your heart is still pumping. And if your heart is still pumping, it means I'm still in danger."
trader_description,"        Mówi się, że nastały dobre czasy dla handlarzy. Padły sieci sklepów, hipermarkety i cała reszta - został tylko inteligentny facet i towar w bagażniku. W pojedynku kupców na przestrzeni dziejów zwyciężyli akwizytorzy. Dziś nigdzie nie uświadczysz karteczki „Akwizytorów nie wpuszczamy.” 
        Fajnie jest pokonać Tesco, co? 
        No dobra, nie myśl jednak, że handlowanie jest takie proste. Trzeba mieć niezłe „gadane” i dużo dobrego towaru, względnie rewelacyjne „gadane” i sporo towaru gównianego. A do tego nerwy jak ze stali. Kiedy targuje się z tobą szef Black Cats, trzeba być twardzielem, by nie dać się zleszczyć. No i musisz umieć kłamać. To się przydaje, gdy odkupujesz świetny towar od jakiegoś frajera za dziesiątą część ceny, oraz wtedy, gdy sprzedajesz niedziałający toster, wmawiając gościowi, że to części suszarki do włosów. 
        No dobrze, ale jak już umiesz kłamać, masz „gadane” i do tego stalowe nerwy - będzie ci się dobrze żyło. Pamiętaj tylko, by kupować bez VATu, sprzedawać z VATem i wszystko będzie się kręcić.","They say that these are good times for traders. The chain stores, hypermarkets, and all the rest have fallen by the wayside, leaving only the smart guy with goods in the trunk. Throughout history, in the battle of merchants, the salesmen emerged victorious. Today, you won't find any signs that say, ""No Salesmen Allowed.""
It's nice to beat Tesco, isn't it?
Well, don't think that trading is that simple. You need to have a good sales pitch and a lot of quality merchandise, or an absolutely brilliant sales pitch and a bunch of junk merchandise. Plus, nerves of steel. When you're negotiating with the boss of the Black Cats, you have to be a tough cookie to avoid getting ripped off. And you need to know how to lie. This comes in handy when you're buying great merchandise from some sucker for a fraction of the price or when you're selling a non-functional toaster, convincing the buyer that it's a hair dryer part.
Alright, but once you know how to lie, you've got the gift of gab, and you've got nerves of steel, life will treat you well. Just remember to buy without VAT, sell with VAT, and everything will keep turning."
new_age_preacher_description,"        Nastały ciężkie czasy - świat runął i cywilizacja chyli się ku upadkowi. Resztki dawnego porządku przebijają spośród gruzów miast i miasteczek. Ludzie próbują odnaleźć się w nowych realiach. Potrzeba im wsparcia, pomocy i kogoś, kto wskaże cel i da nową siłę. 
        Dobrze, że mają ciebie. 
        Bo to ty jesteś tym facetem od wskazywania drogi. Przekonaj ich, że nie jest tak źle. Pokaż ludziom, że świat się jeszcze nie skończył, a Aniołki z oddziału Stróżów wciąż stoją za naszymi plecami. Czasem musisz zganić grzesznika, innym razem pocieszyć zagubionego, raz stanąć w obronie słabszych, innym razem na wszelki wypadek stanąć po stronie silniejszych. Dobrze, byś potrafił przemówić do tłumu, pocieszyć przerażonego, otoczyć ramieniem płaczącą kobietę. 
        Musisz mieć „gadane”, by przekonać okoliczne męty do właściwego wyboru. „Gadane”, lub przynajmniej szpadel, by pieprznąć w łeb tych, którzy mają kłopoty ze słuchem. 
        Więc jeśli masz jakiś pomysł na wskazywanie celu i jeśli masz gadane, lub szpadel, nadajesz się.","Hard times have arrived - the world has crumbled, and civilization is on the brink of collapse. The remnants of the old order pierce through the ruins of towns and cities. People are trying to find their way in the new reality. They need support, help, and someone to guide them and provide new strength.
It's a good thing they have you.
Because you are the guy who points the way. Convince them that it's not so bad. Show people that the world hasn't ended yet, and the Guardian Angels from the Watchers' unit are still standing behind us. Sometimes you have to scold a sinner, other times comfort the lost, sometimes stand up for the weaker, and other times, just in case, stand by the stronger. It's good if you can address the crowd, comfort the frightened, and embrace a weeping woman.
You must have the gift of gab to persuade the locals to make the right choice. The gift of gab, or at the very least a shovel to whack those who have trouble hearing.
So if you have any idea of how to show the way and if you have the gift of gab or a shovel, you're the one for the job."
cowboy_description,"        No dobra, może czasy Doca Holidaya minęły, ale Stany to wciąż miejsce, gdzie prawdziwy kowboj znajdzie dla siebie zajęcie. Jak widać na załączonym obrazku, historia zatoczyła potężne koło i dziś nasze ziemie przypominają te z dawnych czasów. Ponownie można założyć kapelusz, kamizelkę, w olstra wsadzić karabin i ruszyć w podróż. 
        Więc jeśli lubisz przygody, nastał raj. Możesz przemierzać Stany wszerz i wzdłuż, budować swoją legendę, pędzić bydło, czy nawet założyć ranczo. Oczywiście - prócz bandytów, jak dawniej, będą na nie teraz najeżdżać mutanty i pewnie maszyny Molocha, ale co tam, w końcu rewolwery masz lepsze niż twoi przodkowie. Dasz sobie radę. A jak nie lubisz rancho, zawsze możesz wsiąść na konia i ruszyć w podróż. Jeśli będziesz miał farta, odwiedzisz wiele miast i miasteczek, spotkasz ciekawych ludzi, a może nawet zbudujesz legendę. Legendę, która będzie opowiadała o pewnym facecie pochodzącym z małej dziury... 
        Skąd pochodzisz?","Alright, maybe the days of Doc Holliday are long gone, but America is still a place where a true cowboy can find his calling. As you can see in the attached image, history has come full circle, and today our lands resemble those of the past. You can once again don your hat, vest, load up your rifle, and embark on a journey.
So if you love adventure, paradise has arrived. You can crisscross the United States, build your legend, drive cattle, or even start a ranch. Of course, besides outlaws, like in the old days, mutants and probably Moloch's machines will now be raiding them, but hey, in the end, your revolvers are better than those of your ancestors. You'll manage. And if you don't like a ranch, you can always saddle up and set out on a journey. If you're lucky, you'll visit many cities and towns, meet interesting people, and maybe even build a legend. A legend that will tell the story of a guy from a small hole...
Where do you come from?"
courier_description,"        W świecie pociętym ciężko rannymi autostradami, bez kolei, samolotów i autokarów, do łask wrócili kurierzy. Ludzie, którzy dotrą w każde miejsce i zawsze będą na czas. Wyposażeni w najdokładniejsze mapy, znający każdą dziurę, skrót, znający teren lepiej, niż jego rodowici mieszkańcy. Kurier musi wiedzieć, gdzie można się natknąć na mutantów, a gdzie na pole minowe. Musi wiedzieć, który teren jest skażony i jak walczyć ze zmutowanymi zwierzętami. Kurier musi umieć naprawić swoją maszynę i wiedzieć, gdzie zdobyć paliwo. 
        I zawsze, powtarzam zawsze, musi zdążyć na czas. Kurier nie może sobie pozwolić na fuszerkę.","In a world divided by broken highways, devoid of trains, airplanes, and buses, couriers have made a triumphant return. These are the individuals who will reach any destination and always be punctual. Equipped with the most precise maps, they know every pothole, shortcut, and terrain better than its native inhabitants. A courier must know where one might encounter mutants and where one might stumble upon landmines. They must be aware of which areas are contaminated and how to combat mutated creatures. A courier must possess the skills to repair their machine and know where to obtain fuel.
And always, I emphasize, always, they must be on time. A courier cannot afford to cut corners."
hunter_description,"        Odnaleźć chłodnicę do Forda Buicka z ’76? Wykopać skądś komplet płyt Santany? Zdobyć dokumentację do magnetowidu Sony model SP34-98? To twój chleb powszedni. Wiesz czego i gdzie szukać. Masz fotograficzną pamięć i olbrzymią, wszechstronną wiedzę. Przyjmujesz zlecenie, spędzasz miesiąc czasu na doczytywaniu informacji i douczaniu się, łazisz po archiwach, potem rozmawiasz ze specami i przyjaciółmi. W końcu, kiedy już jesteś pewien, że dokładnie wiesz gdzie szukać, ruszasz w drogę. 
        To nie jest prosta praca. Trzeba być cholernie bystrym i ostrożnym. Trzeba mieć pewność i siłę przebicia. Musisz umieć rozmawiać z ludźmi, być wytrwały i nieugięty. Kochać historię, badania i szperanie. Bądź gotowy na przekopywanie się przez złomowiska, na eksplorację opuszczonych bunkrów i na wykradanie sprzętu mafiozom z Vegas. 
        W zasadzie, jeśli chcesz być łowcą, musisz być gotowy na wszystko.","To find a radiator for a '76 Ford Buick? Dig up a complete set of Santana records from somewhere? Obtain documentation for a Sony SP34-98 videocassette recorder? That's your everyday bread and butter. You know what to look for and where to find it. You have a photographic memory and a vast, versatile knowledge. You take on a commission, spend a month researching and learning, delve into archives, then talk to experts and friends. Finally, when you're absolutely sure you know where to look, you set off on your journey.
This is not an easy job. You need to be incredibly sharp and cautious. You must have determination and resilience. You have to be able to communicate with people, be persistent and unyielding. Love history, research, and scavenging. Be prepared to sift through junkyards, explore abandoned bunkers, and sneak equipment away from Vegas mafia.
In essence, if you want to be a hunter, you must be ready for anything."
mutant_hunter_description,"        No dobra, przyznam, że na początku kojarzyło mi się to z tymi facetami, co dawniej łapali niewolników. Teraz już wiem więcej. 
        Żaden niewolnik w historii świata nie był tak niebezpieczny, jak co drugi z mutantów, na których polujesz. To jest niezaprzeczalny fakt, który tłumaczy po co ci karabin, trzy spluwy, nóż bardziej przypominający maczetę i jeszcze maczeta, tak na wszelki wypadek. Domyślam się, że ta skórzana torba pełna jest medykamentów i odtrutek, na wszelkie trucizny i jady, którymi poczęstują cię mutki. 
        W zasadzie, tak jak tropiciel, musisz być uparty i nieustępliwy, konsekwentny i zawzięty, itepe itede, a do tego jeszcze powinieneś być tym typem człowieka, na którego mówi się sukinsyn. 
        Bez litości. Mutanci to zwierzęta. Jeśli jesteś o tym przekonany, witaj w zawodzie.","Alright, I'll admit that initially, it might have reminded me of those guys who used to catch slaves in the past. Now I know more.
No slave in the history of the world was as dangerous as every other mutant you hunt. That's an undeniable fact that explains why you carry a rifle, three pistols, a knife that resembles a machete, and an actual machete, just in case. I assume that leather bag is full of medications and antidotes for all the poisons and venoms those mutants might hit you with.
In essence, just like a tracker, you need to be stubborn and relentless, consistent and resolute, and so on and so forth, but on top of that, you should be the kind of person they call a son of a gun.
Merciless. Mutants are animals. If you're convinced of that, welcome to the profession."
mobster_description,"        Nastały dobre czasy. Nie ma policji. Nie ma FBI. Nie ma CIA ani US Marshalls. Ani żadnej innej organizacji zajmującej się ochranianiem nieprzystosowanych do życia frajerów. W miastach wreszcie żyje się ciekawie. Teraz można się sprawdzić i ocenić, kto zasługuje na miano szefa dzielnicy, czy nawet całego miasta. 
        Tak, wybrałeś drogę kariery. To dość pracochłonne i trudne, ale poradzisz sobie. Wysłuchaj tylko tych kilku rad: nigdy nie ufaj przyjaciołom. Prędzej czy później, zostawią cię na lodzie, więc lepiej byś był na to przygotowany. Nigdy nie pożyczaj kasy ludziom, którzy mogą ci ją oddać. Zastanów się, nic na tym nie zyskujesz. Nigdy nie cofaj się. Nigdy nie zatrzymuj. Nigdy nie odpuszczaj. Nawet jednej małej uliczki. Nawet jednej bramy. Jeśli walczysz o władzę w mieście, ważne jest wszystko. Nawet ten cholerny hydrant.","Good times have arrived. There is no police. No FBI. No CIA or US Marshalls. No other organization that looks after the losers who can't adapt to life. Cities are finally interesting places to live. Now you can prove yourself and determine who deserves to be called the district boss, or even the ruler of the entire city.
Yes, you've chosen a career path. It's quite labor-intensive and difficult, but you'll manage. Just listen to these few pieces of advice: never trust your friends. Sooner or later, they'll leave you high and dry, so you better be prepared for it. Never lend money to people who can pay you back. Think it over; you won't gain anything from it. Never back down. Never stop. Never give up. Not even on one small street. Not even on one gate. If you're fighting for power in a city, everything matters. Even that damn fire hydrant."
