,pl,en
chemist_quote,"„Zatkajcie uszy, po wymieszaniu tych substancji może być trochę huku...”","
""Plug your ears, after mixing these substances, there might be a bit of a bang…"""
ganger_quote,"„Zamknij się, albo utnę ci też drugą nogę, jasne?""","
""This is a piece. And these are my buddies. Say hello…"""
gladiator_quote,"„Pokonałeś dwójkę mutantów, łał! No co ty powiesz...?”","""You've beaten two mutants, wow! What can you say...?"""
trader_quote,"„Zróbmy tak: ja panu dam te dwie chłodnice i piecyk, a wezmę tę skrzynkę części, dobrze?”","""Let's do this: I'll give you those two radiators and the heater, and I'll take this box of parts, okay?"""
new_age_preacher_quote,„No i Amen”,"„Amen, eh?”"
cowboy_quote,"„Nazywam się Bourbonblade. Pewnie o mnie słyszałeś, co?”","""My name is Bourbonblade. You've probably heard of me, right?"""
courier_quote,"„Piątek, 20:00? Będę na czas. Uznaj to za załatwione”","""Friday, 8:00 PM? I'll be on time. Consider it done."""
hunter_quote,"„To będzie kosztowało, ale da się zrobić. Znajdę to. Umówmy się za sześć miesięcy, tu, wczesnym wieczorem. Powiedzmy o 18’tej, może być?”","
""It will cost you, but it can be done. I'll find it. Let's meet in six months, here, in the early evening. Let's say at 6 o'clock, sound good?"""
mutant_hunter_quote,„Mutant to prawie człowiek. Zasługuje na szybką śmierć.”,"""A mutant is almost human. They deserve a quick death."""
mobster_quote,„To jest moje miasto.”,"""This is my city."""
medic_quote,"„Zamknij się, albo utnę ci też drugą nogę, jasne?""","""Shut up or I'll cut off your other leg too, okay?"""
technician_quote,„No i się zesrało...”,"""Well, it's all messed up now…"""
mercenary_quote,"„Powiedz co, a ja ci powiem za ile.”","""You tell me what, and I'll tell you how much."""
bodyguard_quote,„Od tej chwili nic już panu nie grozi.”,"
""From now on, nothing threatens you anymore, sir."""
judge_quote,„Jesteś aresztowany”,"
""You are under arrest."""
specialist_quote,"„To może być wirusowe zapalenie opon mózgowych. Ukąszenie kleszcza, lub...”","""It could be viral meningitis. A tick bite or…"""
shaman_quote,"„Nie chciałem cię zabić, ale w moim magnum mieszka ktoś, kogo zawsze słucham.”","
""I didn't want to kill you, but someone lives in my magnum, and I always listen to them."""
rat_quote,"„Chodźmy do mnie, mam trochę zapasów.”","""Let's go to my place, I have some supplies."""
beast_trainer_quote,"„Spokojnie piesku, ten Pan na pewno nam nie grozi. Zapewne się przejęzyczył, prawda?”","""Calm down, buddy, I'm sure this gentleman is not a threat to us. He probably misspoke, right?"""
tracker_quote,"„Trzech ludzi, dwie godziny przed nami. Starają się zatrzeć ślady. Co robimy?”","
""Three people, two hours ahead of us. They're trying to cover their tracks. What do we do?"""
highway_warrior_quote,„Nienawidzę tego ścierwa. Więc jeżdżę i sprzątam.”,"""I hate that scum. So I drive around and clean up."""
clan_warrior_quote,„To barwy Kojotów. Od zeszłej zimy są naszymi Braćmi Piasku.”,"""These are the colors of the Coyotes. Since last winter, they've been our Sand Brothers."""
assassin_quote,„Pozdrowienia od Pana Browna.”,"
""Mr Brown sends his regards."""
machine_slayer_quote,„Wszystko zaczęło się od budzika. Potem poszło już z górki.”,"
""It all started with the alarm clock. Then it went downhill from there."""
thief_quote,„To jakieś potworne nieporozumienie. Zgubiłem się i szukałem właśnie wyjścia!”,"""This is some terrible misunderstanding. I got lost and was actually looking for the way out!"""
soldier_quote,"„Żołnierzu, to był rozkaz.”","„Thats an order, Soldier!”"
