,pl,en
character_sheet_button,Karta Postaci,Character Sheet
ethnicity_step_tooltip,Pochodzenie,Ethnicity
profession_step_tooltip,Profesja,Profession
attributes_step_tooltip,Współczynniki,Attributes
specialization_step_tooltip,Specjalizacja,Specialization
skills_step_tooltip,Umiejętności,Skills
tricks_step_tooltip,Sztuczki,Tricks
illness_step_tooltip,Choroba,Illness
reputation_step_tooltip,Reputacja,Reputation
form_step_tooltip,Formularz,Form
equipment_step_tooltip,Sprzęt,Equipment
agi_name,Zręczność,Agility
per_name,Percepcja,Perception
cha_name,Charakter,Character
wit_name,Spryt,Wits
bod_name,Budowa,Body
any_name,Dowolny,Any
