,pl,en
southern_hegemony_description,"W świecie rządzonym przez mordercę, reguły są jasne i proste. Trzeba umieć walczyć, by przeżyć. Jeśli ktoś coś ci ukradł, to znaczy, że źle tego strzegłeś. Jeśli ktoś obił ci mordę, to znaczy, że ci się należało.
Nie ma sądów. Nie ma dziesięciu przykazań. Nie ma gadki o nie pożądaniu żony bliźniego swego. Co się tak gapisz?! Tak, pochodzę z Hegemoni i jakoś nie narzekam. To twarda szkoła życia, ale wierz mi, nie chciałbym urodzić się gdzie indziej. Nasz świat jest prosty: albo ktoś mówi ci prawdę, albo strzelasz mu w łeb. Albo potrafisz udowodnić, że jesteś mężczyzną, albo kopiesz w kalendarz nim dożyjesz dwudziestki.
Dlatego Hegemonia się rozrasta, a ty szczasz na mój widok i kulisz za każdym razem, kiedy podnoszę głos. Pochodzę z Hegemonii i we mnie jest siła. Jeśli spotkasz kogoś, kto wychował się u nas, nie zadzieraj z nim. Nie próbuj go oszukać, ani okłamać. Nie próbuj być cwany. Nie warto.","In a world ruled by a murderer, the rules are clear and simple. You must know how to fight to survive. If someone stole something from you, it means you didn't guard it well enough. If someone punched you in the face, it means you deserved it.
There are no courts. There are no Ten Commandments. There's no talk about not coveting your neighbor's wife. Why are you staring like that?! Yes, I come from the Hegemony, and somehow I don't complain. It's a tough school of life, but believe me, I wouldn't want to be born anywhere else. Our world is straightforward: either someone tells you the truth, or you shoot them in the head. Either you can prove you're a man, or you mark the calendar until you reach twenty.
That's why the Hegemony is expanding, and you cower at my sight and skulk every time I raise my voice. I come from the Hegemony, and there is strength in me. If you meet someone who was raised with us, don't mess with them. Don't try to deceive or lie to them. Don't try to be clever. It's not worth it."
vegas_description,"Vegas to mieszanka mafiozów spod ciemnej gwiazdy i świrów. Gdy widzę - bez urazy - takich palantów jak ty, spluwa sama wskakuje mi do ręki. Wszędzie węszycie interes i zysk, a najlepiej, gdy można jeszcze w coś zagrać i zgarnąć podwójną pulę. To jakaś choroba, nie wiem czym pieprznął w was Moloch, ale siadło wam na mózg i zlasowało go bez reszty. Nie potraficie żyć bez ryzyka.
No dobra, ale kilku rzeczy nie można wam odmówić. Macie farta, zasrańcy, o tym wiedzą wszyscy. Nie wiem, czy to jakieś promieniowanie, czy inna cholera, ale to działa. Wtedy, dwa lata temu, zanim rozwaliłem tego palanta od drabiny, dwa razy pod rząd zaciął mi się Glock. Chłopcze, to się nie zdarza. No chyba, że akurat walisz do kogoś z Vegas.
A nie uważasz tego za śmieszne, że wy wszyscy wierzycie w każdy głupi przesąd i dziecinne opowieści o duchach?
A wiesz, co najbardziej mnie wkurza? Brak zasad. Wasze podejście do życia, ciągłe kantowanie i matactwa. Kombinowanie, jak zrobić krzywdę drugiemu, jak podłożyć mu nogę i zająć jego miejsce.
Fakt, to daje wam niezłą odporność na działania innych. Fakt, zrobić w wała kogoś z Vegas, to sztuka. Fakt, często wychodzi na twoje, bo potrafisz ściemniać jak nikt inny. Ale nie myśl, że cię za to szanuję. Ani trochę, cholerny, zakłamany, wierzący w duchy, palancie.","Vegas is a mix of mobsters from the dark side and lunatics. When I see - no offense - idiots like you, saliva practically jumps into my hand. Everywhere you sniff out business and profit, and it's even better if you can gamble and double the pot. It's some kind of sickness; I don't know what Moloch put in you, but it got to your brain and completely messed it up. You can't live without risk.
Alright, but there are a few things I can't deny about you. You're lucky, you bastards, everyone knows that. I don't know if it's some kind of radiation or what the hell it is, but it works. Back then, two years ago, before I took down that ladder jerk, my Glock jammed twice in a row. Kid, that doesn't happen. Well, unless you happen to be shooting at someone from Vegas.
Don't you find it funny that all of you believe in every stupid superstition and childish ghost stories?
You know what pisses me off the most? The lack of principles. Your approach to life, constant cheating and scheming. Plotting how to harm others, how to trip them up and take their place.
Sure, it gives you some resilience to other people's actions. Sure, pulling one over on someone from Vegas is an art. Sure, it often works in your favor because you can bluff like no one else. But don't think for a second that I respect you for it. Not at all, you damn, deceitful, ghost-believing idiots."
tuareg_description,"Wtedy, gdy zrzucali bomby, nikt, ale to nikt nie celował w rezerwaty czerwonoskórych. Indiańce przetrwali wojnę niemal nie ruszeni. I wiesz co? Gdy wszystko ucichło, wyleźli z rezerwatów i zaczęli dyktować warunki. Nie wleźli do ruin Vegas, ani nie zapędzili się w okolice Miami. Są na pustyni. I mają się tam cholernie dobrze. 
Łatwo ich rozpoznać: smagła cera i spokojne podejście do życia. Nie wszyscy są czerwonoskórzy. Teraz po pustyniach łazi od groma ludzi, którzy lubią przestrzeń i spokój. Białych, czarnych, nawet żółtych. Nie liczy się kolor skóry, ale filozofia życia, a głównie to, że wojna wcale ich nie zmartwiła. Łażą sobie po świecie i delektują się przyrodą, popaprańcy. Wyglądają na szczęśliwych, słowo daję. Nigdzie się nie spieszą. Są zadowoleni z siebie i pewni tego, że na pustyni są czempionami przetrwania. 
Wędrowałem kiedyś z jednym takim i powiem ci, w końcu kazałem mu się wynosić w diabły. Polubiłem go trochę i tylko dlatego nie władowałem mu kuli w łeb. Był irytujący. Nie jedz tyle, marnujesz jedzenie. Nie pij tyle, przecież nie chce ci się pić. Sugerował nawet bym zostawił na pustyni swój karabin. Jest ciężki, po co go nosisz? Tracisz niepotrzebnie siły. Doprowadzał mnie tym do pasji. Cokolwiek robiłem, marnowałem energię, siły, sprzęt. Raz rozbił mnie już zupełnie. Wyskoczył zza załomu jakiś mutant, więc władowałem mu serię prosto w bebechy. Biały Sokół spojrzał na mnie i mówi, że jestem głupcem. „Wystarczyła jedna kula. Marnujesz amunicję”. 
Kazałem mu wypieprzać. No i poszedł sobie. Zostawił mnie na tej cholernej pustyni i omal się nie upiekłem. Cudem doczołgałem się do jakiejś osady. Jak go kiedyś spotkam…","When they dropped bombs, nobody, I mean nobody, aimed at the reservations of the Native Americans. The Indians survived the war almost untouched. And you know what? When everything quieted down, they came out of the reservations and started dictating terms. They didn't invade the ruins of Vegas or venture into the Miami area. They're out in the desert. And they're damn well thriving there.
You can easily recognize them: sun-kissed skin and a tranquil approach to life. Not everyone is a Native American. Now, there are plenty of people wandering the deserts who appreciate the open space and serenity. Whites, blacks, even Asians. Skin color doesn't matter; it's their philosophy of life, mainly that the war didn't bother them at all. They roam the world and revel in nature, a bunch of nutcases. They look happy, I swear. Nowhere to rush to. They're content with themselves and confident that they're champions of survival in the desert.
I once traveled with one of them, and I'll tell you, I finally told him to go to hell. I kind of liked him, and that's the only reason I didn't put a bullet in his head. He was annoying. Don't eat so much; you're wasting food. Don't drink so much; you're not even thirsty. He even suggested I leave my rifle in the desert. It's heavy; why are you carrying it? You're wasting your strength unnecessarily. He drove me crazy with that. Whatever I did, I wasted energy, strength, equipment. He completely broke me once. Some mutant jumped out from behind a ridge, so I emptied a whole magazine into its guts. White Eagle looked at me and said I was a fool. ""One bullet was enough. You're wasting ammunition.""
I told him to get lost. And he did. He left me in that damn desert, and I nearly baked to death. I barely crawled to some settlement. If I ever meet him again…"
new_york_description,"Wszyscy Nowojorczycy, jak jeden mąż, są zawzięci jak diabli, do tego są patetyczni do obrzydliwości. Dziw, że nie łażą ubrani w amerykańską flagę. Trzydzieści lat temu chyba najbardziej oberwał Waszyngton i właśnie Nowy Jork. Dziś Waszyngton to czarna dziura, NJ zaś rozwija się i zadziornie wymachuje flagą w kierunku Molocha. Nowojorczycy jeszcze przed wojną dostali srogo po dupie, bo to zawsze było miasto, w które każdy chciał uderzyć. Kiedy wybuchła wojna, mieszkańcy mieli już serdecznie dość wszelkich ataków.
Teraz są świetnie zorganizowani. Ogłosili NJ stolicą Stanów, a ich przywódca mianował się prezydentem. Zbroją się i odbudowują. Nigdzie indziej nie ma takiej mocy i energii, żadne inne miasto nie ma takiej ochoty stanąć na nowo na nogi i skopać dupsko Molochowi. Nowojorczycy zmienili się w niewiarygodnym stopniu. Wzięli na siebie ciężar podniesienia państwa na nogi i harują jak woły, by to się powiodło. Wykopali Tornado z granic miasta, walczą z przestępczością, inwestują w edukację. Uczą o historii Stanów i wielkich bohaterach dawnych dni.
Powiem ci, można puścić pawia słuchając tych ich przemów, widząc świętowanie Dnia Niepodległości, race i transparenty. Gdy usłyszałem, że zrobili paradę z jakiejś tam okazji, omal nie padłem. Są naprawdę mocno przejęci swoją rolą i znaczeniem. Oni naprawdę wierzą, że uratują Stany i spuszczą lanie Molochowi. Wiesz, że budują kolej? Uruchomili kilka fabryk, elektrownie, mają nawet szkoły dla dzieciaków! Śmieję się z nich, ale tak szczerze mówiąc, szanuję ich za wolę walki i odwagę. Jeśli ktoś spuści Molochowi wpieprz, to będą to właśnie Nowojorczycy. Nikt inny.","All New Yorkers, as one, are as determined as hell, and they are disgustingly patriotic on top of that. It's a wonder they don't walk around dressed in the American flag. I guess Washington and New York took the hardest hits about thirty years ago. Today, Washington is a black hole, while New Jersey is flourishing and defiantly waving the flag at Moloch. Even before the war, New Yorkers took quite a beating because it was always the city everyone wanted to attack. When the war broke out, the residents had had enough of all the attacks.
Now they are incredibly well-organized. They declared NJ the capital of the States, and their leader appointed himself president. They are arming themselves and rebuilding. There's nowhere else with such power and energy, no other city with such a willingness to get back on its feet and give Moloch a kick in the ass. New Yorkers have changed incredibly. They've taken on the burden of resurrecting the country and are working like oxen to make it succeed. They've pushed Tornado out of the city limits, fighting crime, and investing in education. They teach about the history of the States and the great heroes of old.
Let me tell you, you could be moved listening to their speeches, seeing their celebrations on Independence Day, fireworks, and banners. When I heard they organized a parade for some occasion, I nearly fell over. They are truly committed to their role and significance. They genuinely believe they will save the States and give Moloch a beating. Do you know they're building a railroad? They've started several factories, power plants, and even schools for kids! I laugh at them, but honestly, I respect them for their fighting spirit and courage. If anyone's going to give Moloch a beating, it's going to be the New Yorkers. No one else."
texas_description,"Rodzina to świętość. Ziemia to świętość. Zwierzęta to świętość. Własność prywatna to świętość i prawo gościnności to także świętość. 
Teksańczycy to przesympatyczni ludzie o bardzo silnych, ugruntowanych regułach życia i niesamowicie stabilnym światopoglądzie. Wierzą w co wierzą i nie dają się łatwo z tej wiary wybić. Najważniejsza jest dla nich rodzina i dom. To jedyni ludzie na ziemi, którzy ugoszczą cię, nakarmią, pomodlą się za ciebie przed snem i jeszcze dadzą prowiant, gdy będziesz odjeżdżał. Pomogą naprawić wóz, dadzą trochę leków na drogę. Zrobią to wszystko i jeszcze więcej. Zrobią to, jeśli oczywiście nie jesteś Chińczykiem, lub murzynem. Teksańczycy nie przepadają za kolorowymi. Prawdę mówiąc, nie lubią też mormonów. No i oczywiście arabów, tych to nawet bardzo nie lubią. Mają pewien uraz do mutacji, więc jeśli masz jakieś kłopoty z ciałem, lepiej jednak się nie zapędzaj w tamte strony. Mam nadzieję, że nie jesteś też zboczeńcem, to nie moja sprawa, ale oni... Aha, i lepiej, byś nie miał jakiegoś przewlekłego, zaraźliwego choróbska. Teksańczycy mają takie powiedzenie: „Chore bydło trzeba odstrzelić dla dobra całego stada.” 
Poza tym są całkiem tolerancyjni. To bardzo mili ludzie. Pomogą, doradzą... Aha, zapomniałbym, nie ćpaj Tornado. Tego też nie uznają.","Family is sacred. The land is sacred. Animals are sacred. Private property is sacred, and the right of hospitality is also sacred.
Texans are incredibly likable people with very strong, established rules of life and an incredibly stable worldview. They believe in what they believe and are not easily swayed from their faith. Family and home are the most important things to them. They are the only people on Earth who will welcome you, feed you, pray for you before bedtime, and even provide provisions when you leave. They will help you fix your wagon, give you some medicine for the road. They will do all that and more, as long as you're not Chinese or Black. Texans aren't fond of people of color. Truth be told, they don't like Mormons either. And, of course, Arabs, they really don't like them. They have a certain aversion to mutations, so if you have any bodily issues, it's better not to venture in that direction. I hope you're not a pervert either; it's not my business, but they... Oh, and it's better if you don't have some chronic, contagious disease. Texans have a saying: ""Sick cattle must be shot for the good of the whole herd.""
Apart from that, they're quite tolerant. They're very nice people. They'll help, advise... Oh, I almost forgot, don't mess with Tornado. They don't like that either."
apallachian_federation_description,"Gościa z Federacji poznasz na kilometr albo i dwa. Łazi wyprostowany, głowa podniesiona wysoko. Facet taksuje wszystkich wokół, jak jakiś wizytator. Tam, w Federacji, mają system kastowy, jest szlachta, magnaci, są też chłopi, którzy harują jak niewolnicy. Mają też kastę żołnierzy, którym nadano ziemię i tytuły. Czujesz to? Pół Stanów rozpieprzonych w drobny mak, a ci nadają sobie ziemię. 
Niezłe jaja, nie? Zadrwij z kogoś z Federacji, a uzna, że go obraziłeś i zechce się z tobą pojedynkować. Wyciągnie z bagażnika szpadę, lub dwa rewolwery, a jeśli będziesz wybrzydzał, bez mrugnięcia okiem położy cię serią z kałacha. Są honorowi i wzorują się na dawnych, oficerskich tradycjach Przystosowali jednak dawne prawa do nowego świata. Stare reguły i zwyczaje stosują, gdy można, lecz jeśli trzeba być elastycznym, bez zastanowienia działają po nowemu, kałachem lub granatnikiem. Dryg oficerski, zasady, honor i szacunek pomiędzy sobą, a dla pospólstwa granat. Goście mają fantazję, trzeba im przyznać. 
Jeśli spotkasz kogoś z Federacji, bądź ostrożny, to facet lub babka, którzy pochodzą z autonomicznego księstewka, pełnego zasad i zwyczajów. A ponieważ nie do każdego z tych frajerów dociera, że poza Federacją ich kasty i tytuły mogą sobie „wsadzić”, zawsze ciągną się za nimi kłopoty.","You'll recognize someone from the Federation from a mile away, maybe even two. They walk upright with their heads held high. The guy sizes up everyone around like some kind of inspector. Over in the Federation, they have a caste system: there's the nobility, the magnates, and there are peasants who toil like slaves. They also have a caste of soldiers who've been granted land and titles. Can you believe it? Half of the States are in shambles, and these folks are busy handing out land to themselves.
Pretty crazy, right? Make fun of someone from the Federation, and they'll consider you've insulted them and want to duel. They'll pull a sword out of their trunk or two revolvers, and if you're picky, they'll gun you down without batting an eye. They have honor and adhere to the old officer traditions. They've adapted the old rules to the new world, though. They apply the old rules and customs when they can, but if they need to be flexible, they act without hesitation with a Kalashnikov or a grenade launcher. Officer swagger, rules, honor, and respect among themselves, but grenades for the common folk. You've got to give them credit; these folks have quite the imagination.
If you meet someone from the Federation, be cautious. They're individuals who come from autonomous little duchies full of their own rules and customs. And because not all of these suckers realize that outside the Federation, their castes and titles don't mean a thing, trouble always seems to follow them."
miami_description,"Widziałeś kiedyś Miami? Gdybyś tam był, to wiedziałbyś wszystko. Dużo błota i zmutowane aligatory - tak wyglądałaby widokówka, którą mógłbyś wysłać kumplom. Gdybym chciał ci polecić jakiś film o tym mieście, zaproponowałbym „Krokodyla Dundee”. Widziałeś może? 
Goście z Miami to prawdziwi twardziele. Ci z Hegemonii, czy Nowego Jorku to też nie mięczaki, sam wiem, co ci o nich opowiadałem, ale tam, w Miami, żyją najprawdziwsi twardziele. Nie ma bardziej prawdziwych twardzieli. 
Faceta z tych bagien poznasz bardzo prosto, wystarczy się przyjrzeć. Zacięta twarz, cygaro w zębach, kapelusz opuszczony na oczy. Kiedyś nawet zastanawiałem się, czy ściany ich domów są wyklejone zdjęciami Clinta Eastwooda. To, że każdy z nich udaje tego gościa, widać już z odległości pół mili. Czym będzie podchodził bliżej, tym jego poza będzie bardziej widoczna. Wiesz, kocie ruchy, niby od niechcenia, niby na luzie, a przecież dobrze wiesz, że jeden niewłaściwy ruch i masz nóż w bebechach. A tam, w Miami, noszą największe noże współczesnego świata. 
Siedzi taki potem przy barze, nagle spluwa, kończy drinka i rzuca tekstem w stylu: „Ale mnie łeb łupi. Idę ubić jakieś cholerstwo.” I wychodzi z knajpy. Wraca po tygodniu. Pytasz go: „I jak?”, a on, jak gdyby nigdy nic, odpowiada: „Ubiłem gada”. Nigdy nie wiesz, czy żartuje, czy mówi poważnie, dopiero później, jak będziesz wyjeżdżał, zobaczysz ścierwo wielkości mamuta leżące przed granicą mieściny. Znak, że gość nie żartował i naprawdę polazł w teren ubić coś dużego. 
Tacy są właśnie ludzie z Miami. Dlatego właśnie ich lubię. To nie są mięczaki, ani świrusy. Po prostu dobrze grają swoją rolę. A wiesz, ja uwielbiam stare filmy z Clintem Eastwoodem…","Have you ever seen Miami? If you had, you'd know everything. Lots of mud and mutated alligators - that's what a postcard you could send to your buddies would look like. If I were to recommend a movie about this city, I'd suggest ""Crocodile Dundee."" Have you seen it?
Folks from Miami are real tough guys. Those from the Hegemony or New York aren't pushovers either; I know what I've told you about them. But there, in Miami, live the truest tough guys. There are no tougher ones.
You can spot a guy from those swamps very easily, just take a closer look. A determined face, a cigar in their mouth, a hat pulled low over their eyes. I even used to wonder if the walls of their homes are covered with pictures of Clint Eastwood. The fact that each of them pretends to be that guy is visible from half a mile away. The closer he gets, the more obvious his demeanor becomes. You know, cat-like movements, as if he doesn't care, all relaxed, but you damn well know that one wrong move, and you've got a knife in your gut. And there, in Miami, they carry the biggest knives in the modern world.
One of these guys sits at the bar, suddenly spits, finishes his drink, and says something like, ""My head's pounding. I'm going to kill some damn thing."" And he leaves the joint. He comes back a week later. You ask him, ""So, how'd it go?"" and he, as if nothing happened, says, ""I killed a giant snake."" You never know if he's joking or serious; it's only later, as you're leaving, that you'll see a mammoth-sized carcass lying outside the town's border. A sign that the guy wasn't joking and really went out into the field to kill something big.
That's just how the people of Miami are. That's why I like them. They're not softies or nutjobs. They just play their role well. And you know, I love old movies with Clint Eastwood…"
none_of_your_fucking_business_description,"Z nimi jest najgorzej, jeżdżą od miasta do miasta, nie mogąc usiedzieć na dupsku. Nie mają bliskich, rodziny ani przyjaciół. Mają wielu wrogów, bo zawsze, jak się pojawiają w nowym miejscu, to brużdżą, by w końcu się wynieść. Kłopot z nimi polega na tym, że nigdy nie wiesz, czego się po nich spodziewać. Cholerni internacjałowie, jeśli wiesz, co mam na myśli. Szybko się uczą, łapią nawyki, mają dryg do nauki języków i gwar. Wiedzą, co żre się w Vegas, jakie są reguły walk gladiatorów na południu i co to jest Korkcity. Jeżdżą i oglądają. Trzeba przyznać, że ta wieczna podróż hartuje ich jak mało co. Każdy z takich wędrowców wyszedł już z niejednej opresji, każdy z nich ma dom na plecach, w każdej chwili może podnieść dupsko, wyjść z knajpy i ruszyć w dwumiesięczną podróż.
To ich styl. Ludzie z nikąd..","With them, it's the worst. They travel from city to city, unable to sit still. They have no close ones, no family or friends. They have many enemies because whenever they appear in a new place, they stir things up before finally moving on. The trouble with them is that you never know what to expect. Damn internationalists, if you know what I mean. They learn quickly, pick up habits, have a knack for learning languages and dialects. They know what's eaten in Vegas, the rules of gladiator fights in the south, and what Korkcity is. They travel and observe. It must be said that this eternal journey toughens them up like almost nothing else. Each of these wanderers has emerged from many a tight spot, each of them carries a home on their back, and at any moment, they can lift their butts, leave the bar, and embark on a two-month journey.
That's their style. People from nowhere…"
salt_lake_city_description,"Czas na dobrą wiadomość. W porównaniu do wieśniaków z Salt Lake jesteś całkiem równym gościem. Jak wiesz, nie przepadam za Vegas, ale to, co doprowadza mnie do białej gorączki, to właśnie palant z Salt Lake. Nie żebym miał coś do mormonów, kilka ich pomysłów na życie jest całkiem OK, nie jestem fanatykiem religijnym i nikogo do niczego nie zmuszam, niech sobie wierzą w co chcą. 
Ale do cholery! Niech nie przekonują mnie, że ich pomysły na życie są lepsze od moich! Najchętniej wysadziłbym ruiny Salt Lake w powietrze. Tylu kultów i sekt, ile tam znajdziesz, nie ma nigdzie indziej. Jeśli pochodzisz z Salt Lake, to znaczy, że masz zdrowo nasrane we łbie, bo już wpadłeś w sidła jakiejś sekty, jesteś wyznawcą jednej z nowych religii, wierzysz w boga skarpetek, albo będziesz mnie przekonywał, że mutanci to takie anioły, tylko bez skrzydeł. 
Uważaj na nich, nieopatrznie dasz sobie postawić drinka i już masz wieczór z głowy. Przysiada się taki i nawija, pyta, wyjaśnia, przekonuje. To jest obłęd jakiś, każdy ma inne wisiory i znaki, jeden ma tatuaż na dupie, inny przekuł sobie nos, a każdy z nich w jakimś celu. Mroczni goście, słowo daję. Mają tysiąc teorii i odpowiedzi na najbardziej mroczne pytania. Czytają książki, oglądają jakieś kasety, robią sobie seanse i dużo ćpają. 
Sekta i tyle. Najlepiej ich wszystkich wysłać do Molocha, może jego przekonają do zmiany spojrzenia na życie.","Time for some good news. Compared to the bumpkins from Salt Lake, you're quite a decent guy. As you know, I'm not a fan of Vegas, but what drives me crazy is the yokel from Salt Lake. Not that I have anything against Mormons; a few of their life ideas are pretty okay. I'm not a religious fanatic, and I don't force anyone to believe in anything.
But damn it! Don't let them convince me that their life ideas are better than mine! I'd blow up the ruins of Salt Lake without hesitation. There are more cults and sects there than anywhere else. If you're from Salt Lake, it means you've got some serious screws loose in your head because you've fallen into the clutches of some cult, become a follower of one of the new religions, believe in the god of socks, or you'll try to convince me that mutants are like angels, just without wings.
Watch out for them; if you're not careful, you'll end up with your evening ruined. One of them sits down, chats, asks questions, explains, persuades. It's madness; each has different quirks and signs, one has a tattoo on their butt, another pierced their nose, and each of them has a purpose. Dark folks, I swear. They have a thousand theories and answers to the darkest questions. They read books, watch some tapes, have their seances, and do a lot of drugs.
It's a cult, plain and simple. It would be best to send them all to Moloch; maybe they'll convince him to change his perspective on life."
mississippi_description,"Ci, co żyją w okolicach Missisipi, to w zasadzie mutanci. Niby wyglądają normalnie... To tylko pozory. Łażą w ciężkich przeciwdeszczowych płaszczach, noszą maski przeciwgazowe i mają grube rękawice. Z daleka wyglądają o wiele gorzej niż mutanci. 
Z drugiej strony, trudno im się dziwić. Missisipi to dziś najbardziej niebezpieczny teren, ta rzeka niemal gotuje się od syfu, który zawiera. Pieni się i bulgocze. 
Pomyśl, właziłbyś do niej bez dobrych gumowców?! Tak więc ci, którzy pracują na Missisipi, to skubańcy łażący w naprawdę grubych gumowcach. 
Są odporni dosłownie na wszystko. Co prawda, rzadko opuszczają swój ukochany ściek, ale jak już ruszą swe twarde dupsko, możesz być pewien dwóch rzeczy. Po pierwsze, nigdy nie wysyłaj ich do sprawdzania, czy teren jest skażony. To, że gość z Missisipi rozbił gdzieś namiot, nie oznacza, że ty przetrwasz tam choć pięć minut. A po drugie, możesz być pewien, że koleś, który wychował się na tej rzece, widział naprawdę wszystko. Możesz go pytać i na każdy temat usłyszysz historyjkę. Ich opowieści są naprawdę przekonujące, no ale jeśli każda minuta historyjki poparta jest prezentacją kolejnej blizny, trudno nie uwierzyć, nie? 
Ja pierniczę, ale oni wyglądają! Życie na rzece to nie bajka, tego jestem pewien.","Those who live around the Mississippi are essentially mutants. They may appear normal... but it's all just a façade. They roam around in heavy raincoats, wear gas masks, and have thick gloves. From a distance, they look much worse than mutants.
On the other hand, it's hard to blame them. Mississippi is the most dangerous territory today; the river is practically boiling with the filth it contains. It froths and gurgles.
Just think, would you wade into it without good rubber boots?! So those who work on the Mississippi are hardy folks, trudging around in really thick rubber boots.
They're resistant to literally everything. Admittedly, they rarely leave their beloved sewage, but when they do finally move their tough butts, you can be sure of two things. First, never send them to check if the area is contaminated. Just because a guy from Mississippi pitched a tent somewhere doesn't mean you'll survive there for even five minutes. And secondly, you can be sure that a guy who grew up on that river has seen absolutely everything. You can ask him, and you'll hear a story on any topic. Their stories are really convincing, but if every minute of the story is backed up by showing another scar, it's hard not to believe, right?
Good grief, but they've been through a lot! Life on the river is no fairy tale; I'm sure of that."
